ID,FIFA Version,FIFA Update,Player Face URL,Long Name,Player Positions,Club Name,Nationality Name,Overall,Potential,Value (EUR),Wage (EUR),Age,Height (cm),Weight (kg),Preferred Foot,Weak Foot,Skill Moves,International Reputation,Work Rate,Body Type,Pace,Shooting,Passing,Dribbling,Defending,Physic,Attacking Crossing,Attacking Finishing,Attacking Heading Accuracy,Attacking Short Passing,Attacking Volleys,Skill Dribbling,Skill Curve,Skill FK Accuracy,Skill Long Passing,Skill Ball Control,Movement Acceleration,Movement Sprint Speed,Movement Agility,Movement Reactions,Movement Balance,Power Shot Power,Power Jumping,Power Stamina,Power Strength,Power Long Shots,Mentality Aggression,Mentality Interceptions,Mentality Positioning,Mentality Vision,Mentality Penalties,Mentality Composure,Defending Marking,Defending Standing Tackle,Defending Sliding Tackle,Goalkeeping Diving,Goalkeeping Handling,Goalkeeping Kicking,Goalkeeping Positioning,Goalkeeping Reflexes,Goalkeeping Speed,Player Traits
1,15,2,https://cdn.sofifa.net/players/158/023/15_120.png,Lionel Andrés Messi Cuccittini,CF,FC Barcelona,Argentina,93,95,100500000,550000,27,169,67,Left,3,4,5,Medium/Low,Normal (170-),93,89,86,96,27,63,84,94,71,89,85,96,89,90,76,96,96,90,94,94,95,80,73,77,60,88,48,22,92,90,76,0,,21,20,6,11,15,14,8,0,"Finesse Shot, Speed Dribbler (AI), One Club Player, Team Player"
3,16,2,https://cdn.sofifa.net/players/009/014/15_120.png,Arjen Robben,"RM, LM",FC Bayern München,Netherlands,90,90,54500000,275000,30,180,80,Left,2,4,5,High/Low,Normal (170-185),93,86,83,92,32,64,80,85,50,86,86,93,85,83,76,90,93,93,93,89,91,86,61,78,65,90,47,39,89,84,80,0,,26,26,10,8,11,5,15,0,"Diver, Injury Prone, Avoids Using Weaker Foot, Selfish, Long Shot Taker (AI), Speed Dribbler (AI), Chip Shot (AI)"
4,15,2,https://cdn.sofifa.net/players/041/236/15_120.png,Zlatan Ibrahimović,ST,Paris Saint-Germain,Sweden,90,90,52500000,275000,32,195,95,Right,4,4,5,Medium/Low,Normal (185+),76,91,81,86,34,86,76,91,76,84,92,88,80,80,76,90,74,77,86,85,41,93,72,78,93,88,84,20,86,83,91,0,,41,27,13,15,10,9,12,0,"Power Free-Kick, Leadership, Flair, Long Shot Taker (AI), Technical Dribbler (AI)"
15,15,2,https://cdn.sofifa.net/players/164/240/15_120.png,Thiago Emiliano da Silva,CB,Paris Saint-Germain,Brazil,87,87,29000000,190000,29,183,79,Right,3,3,4,Medium/High,Normal (170-185),78,57,72,72,90,80,60,38,81,75,63,68,61,73,81,78,75,80,75,83,68,78,90,80,81,71,76,91,59,74,71,0,,91,89,9,12,5,9,10,0,"Leadership, Long Passer (AI), Power Header"
17,15,2,https://cdn.sofifa.net/players/173/731/15_120.png,Gareth Frank Bale,"RM, RW",Real Madrid CF,Wales,87,91,39000000,200000,24,183,74,Left,3,4,4,High/Medium,Lean (170-185),94,83,83,84,63,81,84,81,74,84,76,87,87,85,80,85,93,95,77,84,65,87,67,90,79,88,77,59,83,79,76,0,,65,62,15,15,11,5,6,0,"Avoids Using Weaker Foot, Long Shot Taker (AI), Speed Dribbler (AI), Chip Shot (AI)"
18,15,2,https://cdn.sofifa.net/players/177/003/15_120.png,Luka Modrić,"CM, CDM",Real Madrid CF,Croatia,87,87,36500000,220000,28,174,65,Right,4,4,4,High/Medium,Lean (170-185),76,74,85,89,71,70,78,71,55,88,75,86,82,79,86,92,78,74,93,88,94,72,67,86,66,82,62,73,79,89,80,0,,75,73,13,9,7,14,9,0,"Long Passer (AI), Playmaker (AI), Technical Dribbler (AI)"
19,15,2,https://cdn.sofifa.net/players/188/545/15_120.png,Robert Lewandowski,"ST, CF",FC Bayern München,Poland,87,89,44000000,210000,25,184,78,Right,4,4,4,High/Medium,Normal (170-185),80,84,74,85,39,78,62,87,83,83,82,84,77,68,65,87,79,81,80,88,81,84,83,75,79,80,80,39,87,78,77,0,,42,25,15,6,12,8,10,0,"Injury Free, Chip Shot (AI)"
20,15,2,https://cdn.sofifa.net/players/010/535/15_120.png,Xavier Hernández Creus,CM,FC Barcelona,Spain,86,86,15500000,160000,34,170,68,Right,3,3,4,Medium/Medium,Normal (170-),66,72,91,85,60,58,85,74,51,95,66,80,85,87,90,93,67,65,79,90,90,67,53,60,60,72,53,71,83,94,75,0,,61,59,5,15,12,5,9,0,"Playmaker (AI), One Club Player"
21,15,2,https://cdn.sofifa.net/players/020/289/15_120.png,Gnégnéri Yaya Touré,"CM, CDM",Manchester City,Côte d'Ivoire,86,86,28500000,190000,31,189,90,Right,4,3,4,Medium/Medium,Lean (185+),76,82,81,79,80,90,67,82,82,86,68,81,80,85,83,83,73,78,64,85,59,86,79,93,92,84,86,81,81,85,82,0,,83,81,13,14,6,12,8,0,"Injury Free, Leadership, Long Shot Taker (AI), Playmaker (AI)"
22,15,2,https://cdn.sofifa.net/players/054/050/15_120.png,Wayne Mark Rooney,"ST, CF, CAM",Manchester United,England,86,86,40000000,230000,28,176,83,Right,4,3,4,High/High,Stocky (170-185),76,87,80,83,44,87,78,86,80,77,89,83,84,79,85,85,74,77,77,84,77,91,80,89,85,85,89,39,85,83,81,0,,54,37,10,11,13,8,7,0,"Leadership, Long Shot Taker (AI)"
23,15,2,https://cdn.sofifa.net/players/139/720/15_120.png,Vincent Jean Mpoy Kompany,CB,Manchester City,Belgium,86,86,31500000,220000,28,192,85,Right,3,2,4,Medium/Medium,Normal (185+),73,56,69,67,87,81,61,45,84,80,46,64,61,52,75,74,68,77,63,84,42,76,73,70,88,67,78,87,41,59,63,0,,90,85,10,9,5,8,6,0,"Injury Prone, Dives Into Tackles (AI), Leadership"
24,15,2,https://cdn.sofifa.net/players/153/079/15_120.png,Sergio Leonel Agüero del Castillo,ST,Manchester City,Argentina,86,87,45500000,230000,26,172,74,Right,4,4,4,High/Low,Normal (170-185),88,86,77,88,28,66,70,89,68,84,85,89,82,72,63,88,92,84,86,86,90,85,76,66,68,78,57,24,87,83,86,0,,20,25,13,15,6,11,14,0,"Injury Prone, Beat Offside Trap, Flair, Technical Dribbler (AI)"
25,15,2,https://cdn.sofifa.net/players/176/635/15_120.png,Mesut Özil,"CAM, LW",Arsenal,Germany,86,87,44000000,190000,25,183,76,Left,2,4,3,Medium/Low,Lean (170-185),74,74,86,87,27,58,83,74,54,88,77,87,84,79,80,91,77,71,84,87,78,70,53,64,57,75,56,24,83,92,76,0,,25,25,6,14,10,6,14,0,"Finesse Shot, Flair, Playmaker (AI), Technical Dribbler (AI)"
26,15,2,https://cdn.sofifa.net/players/178/603/15_120.png,Mats Hummels,CB,Borussia Dortmund,Germany,86,88,35500000,200000,25,192,90,Right,3,2,4,High/Medium,Normal (185+),66,59,75,71,88,78,64,57,91,80,51,68,62,61,80,77,63,68,64,85,59,71,70,67,86,52,73,90,56,78,72,0,,89,86,15,6,10,5,6,0,"Injury Prone, Avoids Using Weaker Foot, Leadership, Long Passer (AI), Playmaker (AI)"
27,15,2,https://cdn.sofifa.net/players/183/898/15_120.png,Ángel Fabián Di María Hernández,"CAM, CM, RM",Manchester United,Argentina,86,88,45500000,230000,26,180,70,Left,2,4,4,High/High,Lean (170-185),90,79,83,87,57,71,91,75,53,82,77,88,83,72,81,86,90,90,90,80,79,88,72,79,64,79,76,72,84,83,73,0,,63,61,10,7,11,12,11,0,"Diver, Avoids Using Weaker Foot, Dives Into Tackles (AI), Flair"
28,15,2,https://cdn.sofifa.net/players/188/350/15_120.png,Marco Reus,"LM, RM, ST, CAM",Borussia Dortmund,Germany,86,88,40000000,180000,25,181,73,Right,4,4,3,High/Medium,Lean (170-185),91,86,84,86,33,65,82,85,49,85,87,88,90,87,77,83,89,92,89,87,82,85,70,77,66,89,44,37,87,85,83,0,,32,38,12,12,13,13,11,0,"Beat Offside Trap, Long Shot Taker (AI), Speed Dribbler (AI)"
29,15,2,https://cdn.sofifa.net/players/189/596/15_120.png,Thomas Müller,"RM, CAM, ST, LM",FC Bayern München,Germany,86,88,39000000,200000,24,186,75,Right,4,3,4,High/High,Lean (185+),81,84,82,80,46,72,84,88,80,85,83,78,81,60,77,82,79,83,78,91,73,77,81,90,68,80,57,58,94,85,86,0,,41,44,6,7,11,14,14,0,"Finesse Shot, Outside Foot Shot"
30,15,2,https://cdn.sofifa.net/players/190/871/15_120.png,Neymar da Silva Santos Júnior,LW,FC Barcelona,Brazil,86,91,31000000,210000,22,175,64,Right,5,5,5,High/Medium,Lean (170-185),90,80,72,92,30,58,71,85,62,72,83,94,78,78,72,90,91,89,92,86,84,77,61,86,45,70,56,36,87,72,81,0,,24,33,9,9,15,15,11,0,"Diver, Flair, Technical Dribbler (AI)"
31,15,2,https://cdn.sofifa.net/players/192/119/15_120.png,Thibaut Nicolas Marc Courtois,GK,Chelsea,Belgium,86,90,27000000,170000,22,199,88,Left,3,1,3,Medium/Medium,Lean (185+),0,0,0,0,0,0,25,25,25,32,25,25,25,25,31,23,46,52,61,76,45,36,68,38,70,25,23,25,25,25,27,0,,25,25,84,87,69,86,88,49,GK Long Throw
32,15,2,https://cdn.sofifa.net/players/198/710/15_120.png,James David Rodríguez Rubio,"CAM, RW",Real Madrid CF,Colombia,86,92,35000000,190000,22,180,75,Left,3,4,4,Medium/Medium,Normal (170-185),79,80,84,85,40,72,81,80,68,83,81,86,85,83,84,85,79,79,84,85,74,79,55,73,73,82,74,58,80,87,81,0,,36,30,15,15,15,5,14,0,"Diver, Flair, Playmaker (AI), Technical Dribbler (AI)"
33,15,2,https://cdn.sofifa.net/players/048/940/15_120.png,Petr Čech,GK,Chelsea,Czech Republic,85,85,18000000,170000,32,196,90,Left,3,1,4,Medium/Medium,Normal (185+),0,0,0,0,0,0,25,25,25,35,25,25,25,25,33,32,45,52,49,86,50,21,38,32,65,25,25,23,25,25,43,0,,25,25,83,84,73,83,84,49,"Puncher, GK Long Throw, One Club Player, Team Player"
34,15,2,https://cdn.sofifa.net/players/143/001/15_120.png,Carlos Alberto Tevez,"ST, CF",Juventus,Argentina,85,85,21000000,160000,30,173,75,Right,3,3,3,High/High,Stocky (170-),86,86,78,87,46,84,73,87,61,82,86,86,84,78,64,88,87,85,83,88,90,85,73,89,81,84,87,39,87,83,83,0,,55,55,4,2,3,2,4,0,"Leadership, Finesse Shot, Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)"
35,15,2,https://cdn.sofifa.net/players/165/153/15_120.png,Karim Benzema,ST,Real Madrid CF,France,85,87,27000000,200000,26,184,79,Right,4,4,4,Medium/Low,Normal (170-185),84,84,75,82,30,74,75,88,78,84,77,82,80,73,47,85,83,84,79,83,71,83,71,74,78,78,65,22,87,81,82,0,,25,25,13,11,5,5,7,0,"Beat Offside Trap, Finesse Shot"
36,15,2,https://cdn.sofifa.net/players/167/948/15_120.png,Hugo Lloris,GK,Tottenham Hotspur,France,85,86,21000000,160000,27,188,78,Left,1,1,3,Medium/Medium,Lean (185+),0,0,0,0,0,0,25,25,25,27,25,25,25,25,31,34,65,63,55,84,54,23,74,41,43,25,31,27,25,25,40,0,,25,25,86,81,71,81,88,64,Puncher
37,15,2,https://cdn.sofifa.net/players/177/610/15_120.png,Javier Martínez Aginaga,"CB, CDM, CM",FC Bayern München,Spain,85,86,21000000,160000,25,190,81,Right,3,2,3,Medium/Medium,Normal (185+),53,61,72,68,84,85,60,55,86,79,64,65,61,54,77,74,51,55,59,85,57,75,70,82,87,63,88,86,57,77,58,0,,87,88,5,12,9,11,8,0,Power Header
38,15,2,https://cdn.sofifa.net/players/178/088/15_120.png,Juan Manuel Mata García,"CAM, RM",Manchester United,Spain,85,86,27000000,190000,26,174,63,Left,3,4,3,Medium/Medium,Lean (170-185),74,75,84,87,31,60,83,77,66,86,71,85,82,81,78,88,83,66,90,87,89,74,72,79,52,72,52,39,84,88,71,0,,22,25,9,10,14,5,8,0,"Finesse Shot, Flair, Playmaker (AI), Technical Dribbler (AI)"
39,15,2,https://cdn.sofifa.net/players/179/813/15_120.png,Edinson Roberto Cavani Gómez,"ST, RW",Paris Saint-Germain,Uruguay,85,87,25500000,200000,27,184,71,Right,3,3,4,Medium/Medium,Lean (170-185),79,83,70,80,41,81,70,83,84,74,82,80,75,77,50,83,76,82,83,85,59,85,83,90,76,82,82,48,85,75,82,0,,45,27,12,5,13,13,10,0,Beat Offside Trap
40,15,2,https://cdn.sofifa.net/players/179/844/15_120.png,Diego da Silva Costa,ST,Chelsea,Spain,85,87,26500000,170000,25,188,81,Right,4,3,3,High/Medium,Normal (185+),82,83,63,79,40,88,63,90,82,65,81,82,58,59,48,82,79,85,63,85,62,82,60,85,91,69,89,40,87,74,76,0,,39,34,11,13,12,8,11,0,Diver
41,15,2,https://cdn.sofifa.net/players/181/872/15_120.png,Arturo Erasmo Vidal Pardo,"CM, CDM",Juventus,Chile,85,87,23000000,190000,27,180,75,Right,4,3,4,High/High,Normal (170-185),78,78,80,81,81,83,76,78,71,85,78,80,76,65,79,84,79,77,79,84,78,77,81,93,75,78,89,86,79,80,86,0,,83,89,4,2,4,2,4,0,Long Shot Taker (AI)
44,15,2,https://cdn.sofifa.net/players/189/511/15_120.png,Sergio Busquets i Burgos,"CDM, CM",FC Barcelona,Spain,85,89,20000000,170000,25,189,73,Right,3,3,4,Medium/Medium,Lean (185+),56,59,78,75,81,81,62,60,70,85,44,74,66,68,78,83,59,54,57,84,55,61,66,86,77,54,86,88,77,85,60,0,,84,79,5,8,13,9,13,0,Diver
45,15,2,https://cdn.sofifa.net/players/192/318/15_120.png,Mario Götze,"CAM, CF, CM, RM",FC Bayern München,Germany,85,91,21000000,150000,22,176,72,Right,4,4,3,Medium/Medium,Normal (170-185),80,74,82,89,35,63,75,79,55,86,78,90,79,74,77,90,81,79,87,87,85,68,70,71,64,65,48,53,84,86,67,0,,29,26,14,7,12,6,10,0,"Injury Prone, Flair, Technical Dribbler (AI)"
46,15,2,https://cdn.sofifa.net/players/005/479/15_120.png,Iker Casillas Fernández,GK,Real Madrid CF,Spain,84,84,16500000,140000,33,185,84,Left,2,1,4,Medium/Medium,Normal (170-185),0,0,0,0,0,0,25,25,25,21,25,25,25,25,22,26,65,63,62,80,46,26,77,43,70,25,23,25,25,25,24,0,,25,25,87,79,67,79,88,64,"Leadership, GK Long Throw, 1-on-1 Rush, One Club Player"
